#original_file_name	new_file_name	full_name	path	sample_name	core	depth	year	type	run_mode	sequencer	run	sequencing_batch	single_or_paired	orentation	length	SHA1_hash
Sample_KUK_7HJY_BH73_74.fq 	BH73_74_5.fq.gz	BH73_74_5.fq.gz	unpaired_samples/BH73_74_5.fq.gz	BH73_74	BH73	92.7	1837	Sample	unpaired	KUK	7HJY	5	single	NA	100	467a495a5c1cdab9660e6e90af70fe3c9ba0e0da
BH73_EB12_5.fq	BH73_EB12_5.fq.gz	BH73_EB12_5.fq.gz	unpaired_samples/BH73_EB12_5.fq.gz	BH73_EB12	BH73	0.00	0	Control	unpaired	KUK	7HJY	5	single	NA	100	b40e661ab39cbbaeafd0c54a767b1141ed5078c6
BH73_EB13_5.fq	BH73_EB13_5.fq.gz	BH73_EB13_5.fq.gz	unpaired_samples/BH73_EB13_5.fq.gz	BH73_EB13	BH73	0.00	0	Control	unpaired	KUK	7HJY	5	single	NA	100	23605d0d4d54ddacf45bba2c10d38d882b4f229e
BH73_Lib1_5.fq	BH73_Lib1_5.fq.gz	BH73_Lib1_5.fq.gz	unpaired_samples/BH73_Lib1_5.fq.gz	BH73_Lib1	BH73	0.00	0	Control	unpaired	KUK	7HJY	5	single	NA	100	de6d714f309d0f212e871cd4df58276bf7d8b164
BH73_129.fq	BH73_129_2.fq.gz	BH73_129_2_R2.fq.gz	paired_samples/BH73_129_2_R2.fq.gz	BH73_129	BH73	147.7	1683	Sample	paired	CDK	PEI1	2	paired	Reverse	100	e35eef37f8aba07f81b796184dd46bbaa4eb7f1b
BH73_79.fq	BH73_79_2.fq.gz	BH73_79_2_R2.fq.gz	paired_samples/BH73_79_2_R2.fq.gz	BH73_79	BH73	97.7	1806	Sample	paired	CDK	PEI1	2	paired	Reverse	100	a5ae7c01d9de6be3dc82e9ccd40edc986bb3b4ff
BH73_80.fq	BH73_80_2.fq.gz	BH73_80_2_R2.fq.gz	paired_samples/BH73_80_2_R2.fq.gz	BH73_80	BH73	98.7	1801	Sample	paired	CDK	PEI1	2	paired	Reverse	100	d3e0d446616049fee0be3d9aa65574cd5eabec2e
BH73_81.fq	BH73_81_2.fq.gz	BH73_81_2_R2.fq.gz	paired_samples/BH73_81_2_R2.fq.gz	BH73_81	BH73	99.7	1794	Sample	paired	CDK	PEI1	2	paired	Reverse	100	7b1bf98428c03df1bc9dfd2d6d563fd4b2dc665f
BH73_83.fq	BH73_83_2.fq.gz	BH73_83_2_R2.fq.gz	paired_samples/BH73_83_2_R2.fq.gz	BH73_83	BH73	101.7	1789	Sample	paired	CDK	PEI1	2	paired	Reverse	100	ad8fe2f73d0c2b29851eb9df6a132ad872d82281
BH73_84.fq	BH73_84_2.fq.gz	BH73_84_2_R2.fq.gz	paired_samples/BH73_84_2_R2.fq.gz	BH73_84	BH73	102.7	1789	Sample	paired	CDK	PEI1	2	paired	Reverse	100	1314ceaf050b11cc5b5e4a9c6f9ea9c766694d25
EB_1.fq	BH73_EB1_2.fq.gz	BH73_EB1_2_R2.fq.gz	paired_controls/BH73_EB1_2_R2.fq.gz	BH73_EB1	BH73	0.00	0	Control	paired	CDK	PEI1	2	paired	Reverse	100	1287c0c50659d29b92b821817ea23e816a1edfd7
EB_2.fq	BH73_EB2_2.fq.gz	BH73_EB2_2_R2.fq.gz	paired_controls/BH73_EB2_2_R2.fq.gz	BH73_EB2	BH73	0.00	0	Control	paired	CDK	PEI1	2	paired	Reverse	100	9e272b7b52f582540276596d71d7f0897d0734b5
EB_3.fq	BH73_EB3_2.fq.gz	BH73_EB3_2_R2.fq.gz	paired_controls/BH73_EB3_2_R2.fq.gz	BH73_EB3	BH73	0.00	0	Control	paired	CDK	PEI1	2	paired	Reverse	100	d5b1ecb37d95ad597205a877816fbefd72bc5f11
EB_4.fq	BH73_EB4_2.fq.gz	BH73_EB4_2_R2.fq.gz	paired_controls/BH73_EB4_2_R2.fq.gz	BH73_EB4	BH73	0.00	0	Control	paired	CDK	PEI1	2	paired	Reverse	100	55dbafff35f20424ce849c2eace141b472cb35da
Lib1.fq	BH73_Lib1_2.fq.gz	BH73_Lib1_2_R2.fq.gz	paired_controls/BH73_Lib1_2_R2.fq.gz	BH73_Lib1	BH73	0.00	0	Control	paired	CDK	PEI1	2	paired	Reverse	100	6929251eb74b48734a3e5097e15a2d936b3a2131
Lib2.fq	BH73_Lib2_2.fq.gz	BH73_Lib2_2_R2.fq.gz	paired_controls/BH73_Lib2_2_R2.fq.gz	BH73_Lib2	BH73	0.00	0	Control	paired	CDK	PEI1	2	paired	Reverse	100	6506c927b2b1c563ddbde107f1ad57718eca01dd
KUK_DKAQ_BH73_117_AGTGAG_L007.fastq	BH73_117_3.fq.gz	BH73_117_3_R2.fq.gz	paired_samples/BH73_117_3_R2.fq.gz	BH73_117	BH73	135.7	1709	Sample	paired	KUK	DKAQ	3	paired	Reverse	100	7610cfcfaa8a0e3edeeb41685633155336dd7a7a
KUK_DKAQ_BH73_119_CTCTGC_L007.fastq	BH73_119_3.fq.gz	BH73_119_3_R2.fq.gz	paired_samples/BH73_119_3_R2.fq.gz	BH73_119	BH73	137.7	1704	Sample	paired	KUK	DKAQ	3	paired	Reverse	100	0f978afaaf0896f463af1da5b3410f794055d921
KUK_CCVS_BH73_40_1_ACATAC_L008	BH73_40_3.fq.gz	BH73_40_3_R2.fq.gz	paired_samples/BH73_40_3_R2.fq.gz	BH73_40	BH73	58.7	1898	Sample	paired	KUK	CCVS	3	paired	Reverse	100	8724d022cc535a30bdc17220e1d32c579d88e3e5
KUK_CCVS_BH73_50_TCTCGC_L008	BH73_50_3.fq.gz	BH73_50_3_R2.fq.gz	paired_samples/BH73_50_3_R2.fq.gz	BH73_50	BH73	68.7	1887	Sample	paired	KUK	CCVS	3	paired	Reverse	100	25af5a522e5ae385e0bddeb2378e44e8c034efcd
KUK_CCVS_BH73_6_1_GACCGG_L008	BH73_6_3.fq.gz	BH73_6_3_R2.fq.gz	paired_samples/BH73_6_3_R2.fq.gz	BH73_6	BH73	24.7	1964	Sample	paired	KUK	CCVS	3	paired	Reverse	100	edde4a8e47f5ed5a07d6cd364896d02e1e82ddea
KUK_CCVS_BH73_67_TGAGCC_L008	BH73_67_3.fq.gz	BH73_67_3_R2.fq.gz	paired_samples/BH73_67_3_R2.fq.gz	BH73_67	BH73	85.7	1866	Sample	paired	KUK	CCVS	3	paired	Reverse	100	19f9fbef5e186434d6bc91bdbd8900374bf146c4
KUK_CCVS_BH73_68_TGATCG_L008	BH73_68_3.fq.gz	BH73_68_3_R2.fq.gz	paired_samples/BH73_68_3_R2.fq.gz	BH73_68	BH73	86.7	1863	Sample	paired	KUK	CCVS	3	paired	Reverse	100	6f9162f34809b063c9f493ff8d0facd206034abe
KUK_CCVS_BH73_69_CGTATA_L008	BH73_69_3.fq.gz	BH73_69_3_R2.fq.gz	paired_samples/BH73_69_3_R2.fq.gz	BH73_69	BH73	87.7	1860	Sample	paired	KUK	CCVS	3	paired	Reverse	100	eddcbf8a94c5ef100515a4586001f023ec74e454
KUK_CCVS_BH73_85_CTATCA_L008	BH73_85_3.fq.gz	BH73_85_3_R2.fq.gz	paired_samples/BH73_85_3_R2.fq.gz	BH73_85	BH73	103.7	1788	Sample	paired	KUK	CCVS	3	paired	Reverse	100	55a0bb9ec8a729699f291432e5402a1ca09224e4
KUK_DKAQ_BH73_86_TAGATG	BH73_86_3.fq.gz	BH73_86_3_R2.fq.gz	paired_samples/BH73_86_3_R2.fq.gz	BH73_86	BH73	104.7	1786	Sample	paired	KUK	DKAQ	3	paired	Reverse	100	a1feb50d31f9d20a0a459f42b4c232a25f43fc10
KUK_DKAQ_BH73_94_1_GTGTAT_L007	BH73_94_3.fq.gz	BH73_94_3_R2.fq.gz	paired_samples/BH73_94_3_R2.fq.gz	BH73_94	BH73	112.7	1766	Sample	paired	KUK	DKAQ	3	paired	Reverse	100	f7e23bb9499c7ceb9791f7d3c94f589110919966
BH73_EB8.fq	BH73_EB8_3.fq.gz	BH73_EB8_3_R2.fq.gz	paired_controls/BH73_EB8_3_R2.fq.gz	BH73_EB8	BH73	0.00	0	Control	paired	KUK	DKAQ	3	paired	Reverse	100	906624e8698cbed56b4f8d63667f8cfa6f045c61
BH73_EB9.fq	BH73_EB9_3.fq.gz	BH73_EB9_3_R2.fq.gz	paired_controls/BH73_EB9_3_R2.fq.gz	BH73_EB9	BH73	0.00	0	Control	paired	KUK	DKAQ	3	paired	Reverse	100	75251e7ed8526931dc31b6f5384edb302a1c9587
BH73_EBLib1.fq	BH73_Lib1_3.fq.gz	BH73_Lib1_3_R2.fq.gz	paired_controls/BH73_Lib1_3_R2.fq.gz	BH73_Lib1	BH73	0.00	0	Control	paired	KUK	DKAQ	3	paired	Reverse	100	e1da5fe3fdd93d2c5f530d242d6d875c4c0fa146
